gene	frequency	observed	mean	median	pattern	pval	pvalr
Caprin1	10.2	240	4.1	2.0	Inactivating	0	41
Celf1	14.7	345	5.1	1.0	Inactivating	0	42
Ppp2ca	7.3	173	3.7	1.0	Inactivating	0	43
Fubp1	8.7	205	5.3	2.0	Inactivating	0	44
Luc7l2	13.4	316	3.6	1.0	Inactivating	0	45
Pik3r1	14.1	331	4.6	2.0	Inactivating	0	46
Nr3c1	15.7	370	3.7	2.0	Inactivating	0	47
Wapal	14.5	342	4.6	2.0	Inactivating	0	48
Ankrd17	22.0	517	4.6	2.0	Inactivating	0	49
Adnp	7.1	167	4.6	1.0	Inactivating	0	50
Nsd1	16.6	390	5.1	2.0	Inactivating	0	51
Cdc42	9.9	212	4.1	1.0	Inactivating	0	52
Atxn2	14.7	347	3.1	1.0	Inactivating	0	53
Clint1	11.2	263	4.4	2.0	Inactivating	0	54
Ppm1b	12.3	289	3.4	1.0	Inactivating	2.1e-303	55
Rrbp1	10.5	247	3.8	1.0	Inactivating	2.27e-303	56
Zfp148	17.8	418	4.5	2.0	Inactivating	5.57e-299	57
Ppp2r2a	11.8	278	4.1	2.0	Inactivating	4.21e-298	58
Wdr33	15.3	361	6.8	2.0	Inactivating	1.28e-289	59
Ythdf3	9.6	225	8.8	2.0	Inactivating	3.74e-285	60
Mkln1	17.5	412	5.3	2.0	Inactivating	1.45e-283	61
Ipo7	9.4	222	7.3	2.0	Inactivating	1.2e-282	62
Erbb2ip	16.7	393	3.4	2.0	Inactivating	5.54e-281	63
Pcf11	7.9	187	3.3	2.0	Inactivating	4.22e-280	64
Fam120a	13.3	312	3.5	1.0	Inactivating	1.11e-279	65
Dyrk1a	16.7	393	4.0	1.0	Inactivating	8.26e-278	66
Sppl3	12.6	297	4.4	1.0	Inactivating	1.21e-275	67
Raly	12.7	300	3.2	1.0	Inactivating	1.17e-271	68
Zfand3	20.9	492	4.5	2.0	Inactivating	1.25e-270	69
2810403A07Rik	7.2	170	4.0	2.0	Inactivating	1.65e-270	70
Zmiz1	16.5	389	33.0	2.0	Inactivating	1.81e-269	71
Rab2a	13.3	284	5.7	2.0	Inactivating	1.28e-268	72
Sec63	13.0	306	8.5	2.0	Inactivating	9.7e-268	73
Bclaf1	8.4	198	4.7	1.0	Inactivating	3.93e-267	74
Hectd1	13.9	328	4.0	1.0	Inactivating	5.47e-267	75
Atp2a2	9.5	224	4.5	1.0	Inactivating	7.52e-267	76
Ube2g1	13.8	324	8.4	2.0	Inactivating	1.39e-266	77
Msl2	8.4	134	3.8	1.0	Inactivating	1.36e-264	78
Zfp207	7.1	168	5.7	1.0	Inactivating	1.65e-264	79
Ddx6	10.0	161	6.3	1.0	Inactivating	8.91e-264	80
Tm9sf3	10.7	253	4.5	1.0	Inactivating	1.05e-261	81
Fxr1	10.9	256	4.3	1.0	Inactivating	1.67e-260	82
Susd6	13.6	321	4.7	2.0	Inactivating	6.03e-260	83
Csde1	8.9	209	3.0	1.0	Inactivating	1.44e-259	84
Wdr82	7.2	115	3.4	2.0	Inactivating	1.02e-256	85
Matr3	8.2	193	9.6	2.0	Inactivating	1.55e-254	86
Pum2	14.2	334	4.7	2.0	Inactivating	3.24e-253	87
Ranbp9	13.1	308	3.4	2.0	Inactivating	4.72e-253	88
Cnot2	15.5	366	4.1	1.0	Inactivating	7.39e-252	89
Irf2	13.8	325	3.9	1.0	Inactivating	4.96e-251	90
Tra2b	6.2	145	4.9	2.0	Inactivating	3.3e-250	91
Rab10	11.1	261	7.1	2.0	Inactivating	6.33e-250	92
Ash1l	15.2	358	4.7	2.0	Inactivating	4.18e-249	93
Rbm33	14.7	345	4.4	2.0	Inactivating	7.13e-248	94
Ube3a	14.4	339	3.1	1.0	Inactivating	2.61e-247	95
Ggnbp2	8.7	204	3.3	1.5	Inactivating	1.05e-245	96
Atl2	9.4	222	6.4	1.0	Inactivating	6.6e-241	97
Serbp1	6.9	162	2.6	1.0	Inactivating	2.3e-240	98
Mapk14	9.0	211	3.5	1.0	Inactivating	2.66e-240	99
Tnpo1	12.8	301	3.8	2.0	Inactivating	7.19e-240	100
Cul1	11.9	280	3.4	1.0	Inactivating	2.38e-239	101
Rab7	7.9	187	5.6	2.0	Inactivating	2.58e-239	102
Mllt10	18.5	436	3.4	1.0	Inactivating	2.29e-238	103
Acvr1b	6.7	157	5.0	2.0	Inactivating	1.07e-237	104
Atp13a3	13.0	305	3.8	2.0	Inactivating	1.21e-237	105
Aff4	11.6	274	5.3	1.0	Inactivating	1.31e-236	106
Lrrc58	5.2	123	4.0	1.0	Inactivating	4.09e-236	107
Tnks2	10.9	256	3.8	2.0	Inactivating	1.75e-233	108
Snd1	29.8	701	6.8	2.0	Inactivating	1.35e-230	109
Fam193a	14.8	348	9.2	2.0	Inactivating	2.89e-230	110
Kcmf1	9.7	228	4.1	2.0	Inactivating	2.79e-228	111
Luc7l3	7.2	169	2.7	1.0	Inactivating	2.94e-228	112
Rbm39	8.1	190	5.4	2.0	Inactivating	3.95e-228	113
Ncor1	17.8	420	3.9	2.0	Inactivating	2.12e-227	114
Lonp2	12.1	286	4.0	2.0	Inactivating	2.32e-227	115
Gpbp1	11.9	279	4.5	2.0	Inactivating	5.88e-227	116
Epc1	12.1	285	4.2	1.0	Inactivating	7.99e-227	117
Zfr	12.1	286	3.8	1.0	Inactivating	2.53e-226	118
Bmpr1a	13.6	321	4.9	1.0	Inactivating	2.38e-225	119
Eif3a	7.4	175	3.9	1.0	Inactivating	4.98e-225	120
Lincpint	13.9	328	4.8	2.0	Inactivating	3.1e-223	121
Abhd17c	7.8	183	7.7	2.0	Inactivating	4.77e-221	122
Arid1b	24.9	587	5.5	2.0	Inactivating	1.39e-220	123
Kat6a	12.8	301	5.2	1.0	Inactivating	2.06e-220	124
Rreb1	13.8	325	6.7	2.0	Inactivating	1.92e-219	125
Nedd4	14.6	234	3.0	1.0	Inactivating	4.88e-219	126
Itch	13.2	311	6.0	2.0	Inactivating	8.97e-219	127
Mapk1	10.5	246	2.9	1.0	Inactivating	1.5e-217	128
Gnb1	11.0	235	4.2	2.0	Inactivating	4e-217	129
Golph3	6.8	161	3.8	1.0	Inactivating	1.08e-215	130
Ankhd1	14.9	351	4.8	2.0	Inactivating	6.54e-215	131
Tnrc6b	21.2	499	3.9	2.0	Inactivating	3.83e-214	132
Ppp2r5e	16.9	398	4.5	2.0	Inactivating	1.69e-213	133
Vapa	7.8	184	5.3	2.0	Inactivating	3.03e-213	134
Birc6	19.6	461	5.3	2.0	Inactivating	3.8e-212	135
Mtus1	15.6	368	3.7	1.0	Inactivating	1.98e-210	136
Kpna4	10.9	257	3.8	2.0	Inactivating	3.63e-209	137
Nipbl	19.8	465	4.9	2.0	Inactivating	3.54e-208	138
March6	11.3	267	3.8	2.0	Inactivating	8.06e-208	139
D17Wsu92e	8.8	206	5.6	1.0	Inactivating	1.13e-207	140
Rab1	6.1	144	4.7	2.0	Inactivating	1.94e-207	141
Rsrc2	6.0	142	3.1	1.0	Inactivating	2.09e-207	142
Ccny	14.9	351	4.8	2.0	Inactivating	5.37e-207	143
Tax1bp1	9.9	233	3.0	1.0	Inactivating	2.08e-205	144
Ythdc1	8.0	188	4.1	1.5	Inactivating	1.85e-204	145
Baz1b	9.3	220	3.6	2.0	Inactivating	2.41e-204	146
Nfib	22.4	479	4.7	2.0	Inactivating	2.7e-201	147
Etf1	6.5	152	6.7	1.0	Inactivating	3.01e-200	148
Taok1	12.4	292	5.2	1.0	Inactivating	1.34e-199	149
Nrip1	11.3	267	3.9	2.0	Inactivating	5.04e-199	150
Rab14	5.9	139	2.8	1.0	Inactivating	1.17e-198	151
Rabep1	13.0	306	3.3	2.0	Inactivating	4.31e-198	152
Ppp1cb	7.5	177	5.1	1.0	Inactivating	6.35e-198	153
Cpeb4	11.5	270	4.7	2.0	Inactivating	8.17e-198	154
Ubr5	14.3	336	3.7	1.0	Inactivating	3.02e-196	155
Abi1	13.4	315	3.5	1.0	Inactivating	1.68e-195	156
Cacul1	9.9	234	5.7	2.0	Inactivating	2.04e-194	157
Larp4	8.5	201	3.6	1.0	Inactivating	5.26e-194	158
Rnf111	13.3	213	3.6	1.0	Inactivating	5.48e-194	159
Hnrnpd	6.4	151	3.0	1.0	Inactivating	8e-194	160
Sp3	8.7	205	4.3	2.0	Inactivating	1.64e-192	161
Ube2n	6.6	155	3.2	1.0	Inactivating	3.74e-192	162
Tlk1	15.0	352	4.2	2.0	Inactivating	8.4e-192	163
Srsf4	6.0	128	5.8	1.0	Inactivating	9.41e-188	164
Tnrc6a	10.5	248	3.8	2.0	Inactivating	9.6e-188	165
Zfp292	12.2	260	4.5	1.0	Inactivating	5.64e-187	166
Scaf11	8.8	208	5.6	2.0	Inactivating	1.83e-186	167
Kmt2c	21.8	514	5.0	2.0	Inactivating	4.39e-186	168
Cdk12	9.3	218	3.4	1.0	Inactivating	4.81e-185	169
Eif4b	5.3	124	7.3	1.5	Inactivating	6.04e-185	170
Usp34	20.2	476	4.1	2.0	Inactivating	8.07e-185	171
Rbbp6	7.1	166	4.2	1.0	Inactivating	5.54e-184	172
Rhoa	7.7	123	2.9	1.0	Inactivating	9.52e-183	173
Spag9	15.2	358	5.7	2.0	Inactivating	1.9e-182	174
Tab2	9.2	217	3.8	1.0	Inactivating	1.56e-180	175
Acvr2a	12.8	301	3.9	2.0	Inactivating	1.57e-180	176
Dnajc5	6.3	148	4.0	2.0	Indeterminate	2.13e-180	177
Xpo7	13.1	309	3.0	1.0	Inactivating	1.84e-179	178
Yy1	5.3	125	3.1	1.0	Inactivating	2.57e-179	179
Smurf2	13.2	311	5.5	2.0	Inactivating	1.08e-178	180
Ube2h	11.3	267	3.4	1.0	Inactivating	1.1e-178	181
Fam13b	9.9	232	4.0	2.0	Inactivating	1.19e-178	182
Rnf169	8.7	205	3.3	1.0	Inactivating	2.72e-178	183
Rock2	13.5	317	4.8	1.0	Inactivating	4.49e-178	184
Csnk2a1	8.3	195	2.8	1.0	Inactivating	7.76e-178	185
Srcap	7.8	184	3.0	1.0	Inactivating	1.34e-177	186
Gdi2	6.2	146	2.6	1.0	Inactivating	5.11e-177	187
Ppp4r2	6.7	158	3.5	2.0	Inactivating	2.12e-176	188
Qk	15.2	357	4.1	2.0	Inactivating	2.24e-176	189
Arcn1	7.1	114	2.3	1.0	Inactivating	4.71e-176	190
Usp3	13.5	217	3.4	1.0	Inactivating	8.09e-176	191
Son	6.6	156	4.4	1.0	Inactivating	1.3e-175	192
Usp9x	13.6	321	7.1	2.0	Inactivating	3.77e-175	193
Abcd3	9.6	225	3.7	2.0	Inactivating	6.82e-175	194
Dido1	7.8	184	2.7	1.0	Inactivating	1.96e-174	195
Lrp6	14.3	336	4.5	1.0	Inactivating	2.15e-174	196
Dhx15	8.5	200	4.0	1.0	Inactivating	3.98e-173	197
Pan3	14.0	330	3.9	1.0	Inactivating	1.28e-172	198
Wbp1l	7.1	166	4.0	1.0	Inactivating	2.02e-172	199
Cpne1	7.1	168	5.0	2.0	Inactivating	4.21e-172	200
Jmjd1c	15.7	370	3.9	2.0	Inactivating	5.64e-172	201
Ap1g1	11.6	272	3.7	2.0	Inactivating	1.2e-171	202
Uhrf2	10.3	242	3.8	1.0	Inactivating	3.81e-171	203
Tlk2	12.9	303	3.1	1.0	Inactivating	1.12e-170	204
Rnf146	5.1	120	4.5	1.0	Inactivating	4.5e-170	205
Hnrnpf	5.2	123	3.2	2.0	Inactivating	6.49e-170	206
Adipor2	8.9	209	5.8	1.0	Inactivating	9.58e-170	207
Zfx	8.3	195	12.1	2.0	Inactivating	1.24e-169	208
Ctnnb1	6.5	104	3.8	2.0	Inactivating	3.99e-169	209
Arhgef12	17.6	283	3.1	2.0	Inactivating	6.29e-169	210
Ddi2	6.8	145	5.0	1.0	Inactivating	3.85e-168	211
St13	6.7	158	3.2	2.0	Inactivating	5.47e-168	212
Dennd5b	13.6	319	3.9	2.0	Inactivating	3e-167	213
Kdm6a	16.1	379	3.7	1.0	Inactivating	3.12e-167	214
Rere	24.3	519	4.6	2.0	Inactivating	4.66e-167	215
Fbxw7	17.5	412	4.2	2.0	Inactivating	7.42e-167	216
Hnrnpll	6.9	162	2.7	1.0	Inactivating	8.08e-167	217
Csnk1g3	12.4	292	4.2	1.0	Inactivating	8.09e-167	218
Scaf8	10.7	251	4.2	2.0	Inactivating	3.48e-166	219
Tcf12	28.2	453	3.2	1.0	Inactivating	5.67e-165	220
Wnk1	14.9	350	4.5	1.0	Inactivating	1.38e-164	221
March7	7.7	182	3.4	1.0	Inactivating	2.45e-164	222
Thrap3	7.1	151	5.5	2.0	Inactivating	1.77e-163	223
Zfp592	7.6	180	4.2	1.0	Inactivating	6.25e-163	224
Ube2l3	7.0	165	4.2	2.0	Inactivating	6.05e-162	225
Sec24a	9.1	215	2.9	2.0	Inactivating	1.08e-161	226
